id_provincia,id_canton,id_distrito,nombre
5,9,1,Parrita
5,10,1,Corredor
5,10,2,"La Cuesta"
5,10,3,Canoas
5,10,4,Laurel
5,11,1,Jacó
5,11,2,Tárcoles
5,11,3,Lagunillas
6,1,1,limón
6,1,2,Matama
6,1,3,"Río Blanco"
6,1,4,"Valle La Estrella"
6,2,1,Cariari
6,2,2,Colorado
6,2,3,Guápiles
6,2,4,Jiménez
6,2,5,Rita
6,2,6,Roxana
6,3,1,Siquirres
6,3,2,Alegría
6,3,3,Cairo
6,3,4,Florida
6,3,5,Germania
6,3,6,Pacuarito
6,4,1,Bratsi
6,4,2,Cahuita
6,4,3,Sixaola
6,4,4,Telire
6,5,1,Matina
6,5,2,Batán
6,5,3,Carrandi
6,6,1,Guácimo
6,6,2,Duacarí
6,6,3,Mercedes
6,6,4,Pocora
6,6,5,"Río Jiménez"
7,1,1,Oriental
7,1,2,Occidental
7,1,3,Carmen
7,1,5,Aguacaliente
7,1,6,Guadalupe
7,1,7,Corralillo
7,1,8,"Tierra Blanca"
7,1,9,"Dulce Nombre"
7,1,10,"Llano Grande"
7,1,11,Quebradilla
7,1,12,"Oriental "
7,1,13,"Occidental "
7,2,1,Paraíso
7,2,2,Santiago
7,2,3,Orosi
7,2,4,Cachí
7,2,5,"Llanos de Santa Lucía"
7,2,6,Birrisito
7,5,1,Turrialba
7,5,2,"La Suiza"
7,5,3,Peralta
7,5,4,"Santa Cruz"
7,5,5,"Santa Teresita"
7,5,6,Pavones
7,5,7,Tuis
7,5,8,Tayutic
7,5,9,"Santa Rosa"
7,5,10,"Tres Equis"
7,5,11,"La Isabel"
7,5,12,Chirripó
7,6,1,Pacayas
7,6,2,Cervantes
7,6,3,Capellades
7,7,1,"San Rafael"
7,7,2,Cot
7,7,3,"Potrero Cerrado"
7,7,4,Cipreses
7,7,5,"Santa Rosa"
7,8,1,"El Tejar"
7,8,2,"San Isidro"
7,8,3,Tobosi
7,11,4,"San Nicolás"
